"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"19","L1 1","gap",9,"a","0","-","-",7332,"L1","Ambiguous",7332
"35","L1 1","gap",1,"a","0","-","-",3889,"L1","Ambiguous",3889
"39","L1 1","gap",7,"a","0","-","-",5502,"L1","Ambiguous",5502
"54","L1 1","gap",11,"a","0","-","-",6100,"L1","Ambiguous",6100
"57","L1 1","gap",12,"b","0","-","-",5111,"L1","Unambiguous",5111
"64","L1 1","gap",6,"b","0","-","-",4747,"L1","Unambiguous",4747
"77","L1 1","gap",2,"b","0","-","-",5688,"L1","Unambiguous",5688
"84","L1 1","gap",8,"b","0","-","-",4072,"L1","Unambiguous",4072
"102","L1 1","gap",10,"b","0","-","-",6782,"L1","Unambiguous",6782
"107","L1 1","gap",3,"a","0","-","-",9763,"L1","Ambiguous",9763
"154","L1 1","gap",4,"b","0","-","-",3525,"L1","Unambiguous",3525
"167","L1 1","gap",5,"a","0","-","-",6241,"L1","Ambiguous",6241
"198","L1 2","gap",10,"a","0","-","-",7414,"L1","Ambiguous",7414
"219","L1 2","gap",1,"b","0","-","-",11766,"L1","Unambiguous",11766
"226","L1 2","gap",3,"b","0","-","-",9436,"L1","Unambiguous",9436
"233","L1 2","gap",6,"a","0","-","-",4062,"L1","Ambiguous",4062
"243","L1 2","gap",9,"b","0","-","-",5404,"L1","Unambiguous",5404
"248","L1 2","gap",4,"a","0","-","-",5731,"L1","Ambiguous",5731
"252","L1 2","gap",12,"a","0","-","-",6163,"L1","Ambiguous",6163
"256","L1 2","gap",5,"b","0","-","-",5476,"L1","Unambiguous",5476
"271","L1 2","gap",11,"b","0","-","-",4505,"L1","Unambiguous",4505
"320","L1 2","gap",8,"a","0","-","-",5172,"L1","Ambiguous",5172
"330","L1 2","gap",2,"a","0","-","-",7103,"L1","Ambiguous",7103
"355","L1 2","gap",7,"b","0","-","-",8693,"L1","Unambiguous",8693
"374","L1 3","gap",11,"a","0","-","-",10601,"L1","Ambiguous",10601
"387","L1 3","gap",6,"b","0","-","-",8487,"L1","Unambiguous",8487
"397","L1 3","gap",1,"a","0","-","-",14887,"L1","Ambiguous",14887
"418","L1 3","gap",2,"b","0","-","-",13600,"L1","Unambiguous",13600
"432","L1 3","gap",3,"a","0","-","-",25782,"L1","Ambiguous",25782
"439","L1 3","gap",9,"a","0","-","-",17519,"L1","Ambiguous",17519
"451","L1 3","gap",8,"b","0","-","-",17162,"L1","Unambiguous",17162
"462","L1 3","gap",5,"a","0","-","-",9094,"L1","Ambiguous",9094
