"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"26","L1 1","gap",22,"b","!","{Yes}",0,3000,"L1","Unambiguous",3000
"43","L1 1","gap",16,"b","!","{No}",1,2705,"L1","Unambiguous",2705
"47","L1 1","gap",21,"a","!","{Yes}",0,1914,"L1","Ambiguous",1914
"51","L1 1","gap",19,"a","!","{Yes}",0,2490,"L1","Ambiguous",2490
"71","L1 1","gap",13,"a","!","{Yes}",0,2284,"L1","Ambiguous",2284
"82","L1 1","gap",14,"b","!","{Yes}",0,1526,"L1","Unambiguous",1526
"96","L1 1","gap",20,"b","!","{No}",1,1910,"L1","Unambiguous",1910
"119","L1 1","gap",24,"b","!","{No}",1,3237,"L1","Unambiguous",3237
"123","L1 1","gap",23,"a","!","{Yes}",0,2275,"L1","Ambiguous",2275
"162","L1 1","gap",18,"b","!","{No}",1,2996,"L1","Unambiguous",2996
"165","L1 1","gap",17,"a","!","{No}",1,3227,"L1","Ambiguous",3227
"179","L1 1","gap",15,"a","!","{No}",1,1968,"L1","Ambiguous",1968
"205","L1 2","gap",14,"a","!","{Yes}",0,2003,"L1","Ambiguous",2003
"213","L1 2","gap",20,"a","!","{No}",1,2414,"L1","Ambiguous",2414
"237","L1 2","gap",23,"b","!","{Yes}",0,3213,"L1","Unambiguous",3213
"279","L1 2","gap",18,"a","!","{Yes}",0,1017,"L1","Ambiguous",1017
"283","L1 2","gap",17,"b","!","{Yes}",0,2780,"L1","Unambiguous",2780
"300","L1 2","gap",21,"b","!","{Yes}",0,1187,"L1","Unambiguous",1187
"304","L1 2","gap",15,"b","!","{Yes}",0,1954,"L1","Unambiguous",1954
"310","L1 2","gap",19,"b","!","{No}",1,1110,"L1","Unambiguous",1110
"318","L1 2","gap",13,"b","!","{Yes}",0,931,"L1","Unambiguous",931
"327","L1 2","gap",24,"a","!","{No}",1,936,"L1","Ambiguous",936
"334","L1 2","gap",22,"a","!","{No}",1,2509,"L1","Ambiguous",2509
"338","L1 2","gap",16,"a","!","{Yes}",0,1518,"L1","Ambiguous",1518
"385","L1 3","gap",13,"a","!","{Yes}",0,2733,"L1","Ambiguous",2733
"391","L1 3","gap",14,"b","!","{Yes}",0,2678,"L1","Unambiguous",2678
"416","L1 3","gap",23,"a","!","{Yes}",0,6209,"L1","Ambiguous",6209
"423","L1 3","gap",24,"b","!","{No}",1,2442,"L1","Unambiguous",2442
"444","L1 3","gap",16,"b","!","{No}",1,4303,"L1","Unambiguous",4303
"459","L1 3","gap",20,"b","!","{Yes}",0,2795,"L1","Unambiguous",2795
"467","L1 3","gap",15,"a","!","{Yes}",0,3680,"L1","Ambiguous",3680
"485","L1 3","gap",19,"a","!","{Yes}",0,2211,"L1","Ambiguous",2211
"493","L1 3","gap",22,"b","!","{No}",1,1633,"L1","Unambiguous",1633
"496","L1 3","gap",17,"a","!","{No}",1,1418,"L1","Ambiguous",1418
