"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"23","L1 1","gp",3,"c","!","{The_president}",1,1844,"L1","Ambiguous",1844
"29","L1 1","gp",4,"d","!","{The_friend}",1,2138,"L1","Unambiguous",2138
"33","L1 1","gp",7,"c","!","{The_lady}",1,1510,"L1","Ambiguous",1510
"89","L1 1","gp",20,"d","!","{The_man}",1,1897,"L1","Unambiguous",1897
"92","L1 1","gp",19,"c","!","{The_basketball_player}",1,2853,"L1","Ambiguous",2853
"112","L1 1","gp",12,"d","!","{The_baby}",1,1747,"L1","Unambiguous",1747
"133","L1 1","gp",11,"c","!","{The_friend}",1,1691,"L1","Ambiguous",1691
"140","L1 1","gp",24,"d","!","{The_director}",1,2375,"L1","Unambiguous",2375
"144","L1 1","gp",16,"d","!","{The_assistant}",1,1960,"L1","Unambiguous",1960
"159","L1 1","gp",15,"c","!","{The_boy}",1,3248,"L1","Ambiguous",3248
"171","L1 1","gp",23,"c","!","{The_child}",1,4003,"L1","Ambiguous",4003
"175","L1 1","gp",8,"d","!","{The_boy}",1,1513,"L1","Unambiguous",1513
"217","L1 2","gp",15,"d","!","{The_boy}",1,1028,"L1","Unambiguous",1028
"223","L1 2","gp",2,"c","!","{The_mother}",0,2794,"L1","Ambiguous",2794
"230","L1 2","gp",10,"c","!","{The_two_soldiers}",0,1124,"L1","Ambiguous",1124
"241","L1 2","gp",6,"c","!","{The_neighbour}",1,972,"L1","Ambiguous",972
"247","L1 2","gp",19,"d","!","{The_basketball_player}",1,1542,"L1","Unambiguous",1542
"265","L1 2","gp",14,"c","!","{The_nurse}",1,1586,"L1","Ambiguous",1586
"293","L1 2","gp",3,"d","!","{The_president}",1,1444,"L1","Unambiguous",1444
"297","L1 2","gp",23,"d","!","{The_child}",1,1108,"L1","Unambiguous",1108
"324","L1 2","gp",11,"d","!","{The_friend}",1,1136,"L1","Unambiguous",1136
"345","L1 2","gp",18,"c","!","{The_baby}",1,2386,"L1","Ambiguous",2386
"348","L1 2","gp",22,"c","!","{The_coach}",1,2255,"L1","Ambiguous",2255
"359","L1 2","gp",7,"d","!","{The_lady}",1,953,"L1","Unambiguous",953
"401","L1 3","gp",18,"d","!","{The_baby}",1,1989,"L1","Unambiguous",1989
